Tamanho,Processos,TempoTotal(max),TempoComputacao(soma),TempoComunicacao(soma),OverheadAbsoluto,OverheadRelativo,EficienciaComunicacao,Speedup,Eficiencia
1000,1,0.000736,0.000736,0.000000,0.000000,0.00,1.0000,0.9557,0.9557
1000,1,0.000609,0.000609,0.000000,0.000000,0.00,1.0000,0.9388,0.9388
1000,1,0.000588,0.000588,0.000000,0.000000,0.00,1.0000,0.9534,0.9534
1000,2,0.000545,0.000591,0.000497,0.000249,45.69,0.5431,1.2945,0.6473
1000,2,0.000540,0.000597,0.000481,0.000241,44.64,0.5536,1.2361,0.6180
1000,2,0.000549,0.000604,0.000492,0.000246,44.90,0.5510,1.0403,0.5202
1000,4,0.001253,0.000829,0.004177,0.001046,83.44,0.1656,0.5108,0.1277
1000,4,0.001030,0.000737,0.003378,0.000846,82.10,0.1790,0.5512,0.1378
1000,4,0.001262,0.000817,0.004222,0.001058,83.78,0.1622,0.4487,0.1122
1000,8,0.001401,0.001083,0.010089,0.001266,90.31,0.0969,0.4951,0.0619
1000,8,0.001577,0.001159,0.011395,0.001432,90.77,0.0923,0.3856,0.0482
1000,8,0.001407,0.001065,0.010041,0.001274,90.41,0.0959,0.4398,0.0550
5000,1,0.011505,0.011505,0.000000,0.000000,0.00,1.0000,0.9935,0.9935
5000,1,0.011535,0.011535,0.000000,0.000000,0.00,1.0000,1.0078,1.0078
5000,1,0.011512,0.011512,0.000000,0.000000,0.00,1.0000,0.9907,0.9907
5000,2,0.007012,0.011489,0.002535,0.001268,18.08,0.8192,1.6894,0.8447
5000,2,0.007302,0.011805,0.002798,0.001400,19.16,0.8084,1.6479,0.8240
5000,2,0.007008,0.011487,0.002528,0.001265,18.04,0.8196,1.6468,0.8234
5000,4,0.005520,0.011972,0.010078,0.002527,45.71,0.5429,2.1250,0.5312
5000,4,0.005597,0.012034,0.010346,0.002589,46.23,0.5377,2.0370,0.5092
5000,4,0.005707,0.012101,0.010708,0.002681,46.95,0.5305,2.2981,0.5745
5000,8,0.008071,0.015989,0.048529,0.006073,75.22,0.2478,1.4353,0.1794
5000,8,0.007854,0.016269,0.046396,0.005821,74.04,0.2596,1.9215,0.2402
5000,8,0.008059,0.016240,0.048111,0.006029,74.76,0.2524,1.8521,0.2315
10000,1,0.044939,0.044939,0.000000,0.000000,0.00,1.0000,0.9917,0.9917
10000,1,0.044728,0.044728,0.000000,0.000000,0.00,1.0000,1.0166,1.0166
10000,1,0.044675,0.044675,0.000000,0.000000,0.00,1.0000,0.9932,0.9932
10000,2,0.025312,0.044367,0.006255,0.003129,12.36,0.8764,1.7658,0.8829
10000,2,0.024937,0.044125,0.005746,0.002874,11.52,0.8848,1.7944,0.8972
10000,2,0.024884,0.044076,0.005690,0.002846,11.43,0.8857,1.7930,0.8965
10000,4,0.016112,0.045170,0.019268,0.004819,29.90,0.7010,2.7591,0.6898
10000,4,0.016322,0.045237,0.020034,0.005013,30.69,0.6931,2.7374,0.6844
10000,4,0.016594,0.045290,0.021070,0.005272,31.75,0.6825,2.6747,0.6687
10000,8,0.019889,0.060644,0.098452,0.012309,61.88,0.3812,2.2338,0.2792
10000,8,0.019999,0.060501,0.099319,0.012436,62.14,0.3786,3.0109,0.3764
10000,8,0.019025,0.060986,0.091048,0.011402,59.89,0.4011,3.1675,0.3959
50000,1,1.861016,1.861016,0.000000,0.000000,0.00,1.0000,0.9985,0.9985
50000,1,1.844095,1.844095,0.000000,0.000000,0.00,1.0000,1.0013,1.0013
50000,1,1.842121,1.842121,0.000000,0.000000,0.00,1.0000,1.0009,1.0009
50000,2,0.648780,1.249571,0.047986,0.023995,3.70,0.9630,2.8637,1.4319
50000,2,0.654084,1.260501,0.047665,0.023834,3.64,0.9636,2.8523,1.4261
50000,2,0.655887,1.256431,0.055341,0.027672,4.22,0.9578,2.8164,1.4082
50000,4,0.310684,1.119523,0.123197,0.030803,9.91,0.9009,5.9700,1.4925
50000,4,0.324490,1.133350,0.164592,0.041153,12.68,0.8732,5.6378,1.4094
50000,4,0.315157,1.124198,0.136410,0.034108,10.82,0.8918,5.8397,1.4599
50000,8,0.293672,1.526401,0.822927,0.102872,35.03,0.6497,7.3661,0.9208
50000,8,0.305581,1.538971,0.905518,0.113210,37.04,0.6296,6.0597,0.7575
50000,8,0.302743,1.536654,0.885141,0.110661,36.55,0.6345,6.0801,0.7600
100000,1,8.769925,8.769925,0.000000,0.000000,0.00,1.0000,0.9985,0.9985
100000,1,8.747332,8.747332,0.000000,0.000000,0.00,1.0000,1.0005,1.0005
100000,1,8.724693,8.724693,0.000000,0.000000,0.00,1.0000,0.9993,0.9993
100000,2,3.774547,7.395671,0.153421,0.076711,2.03,0.9797,2.3278,1.1639
100000,2,3.766659,7.402487,0.130829,0.065416,1.74,0.9826,2.3206,1.1603
100000,2,3.787899,7.422139,0.153659,0.076830,2.03,0.9797,2.3098,1.1549
100000,4,1.869027,5.851102,1.624991,0.406251,21.74,0.7826,4.6975,1.1744
100000,4,1.874594,5.854482,1.643879,0.410973,21.92,0.7808,4.6793,1.1698
100000,4,1.858284,5.830276,1.602844,0.400715,21.56,0.7844,4.7252,1.1813
100000,8,1.188927,6.490776,3.020440,0.377579,31.76,0.6824,7.3514,0.9189
100000,8,1.365144,6.783474,4.137589,0.517209,37.89,0.6211,7.2228,0.9029
100000,8,1.140346,6.373721,2.748914,0.343631,30.13,0.6987,7.6672,0.9584
