Tamanho,Threads,Schedule,Tempo(s),Speedup,Eficiencia
1000,1,static,0.000815,0.7005,0.7005
1000,1,dynamic,0.002755,0.2072,0.2072
1000,1,guided,0.000776,0.7355,0.7355
1000,1,static,0.000799,0.9060,0.9060
1000,1,dynamic,0.003711,0.1951,0.1951
1000,1,guided,0.001019,0.7107,0.7107
1000,1,static,0.000793,0.7783,0.7783
1000,1,dynamic,0.002891,0.2134,0.2134
1000,1,guided,0.000898,0.6873,0.6873
1000,2,static,0.000600,0.9633,0.4817
1000,2,dynamic,0.013375,0.0432,0.0216
1000,2,guided,0.000899,0.6424,0.3212
1000,2,static,0.000670,1.0350,0.5175
1000,2,dynamic,0.013098,0.0530,0.0265
1000,2,guided,0.001079,0.6434,0.3217
1000,2,static,0.000557,1.2924,0.6462
1000,2,dynamic,0.012750,0.0565,0.0282
1000,2,guided,0.000976,0.7378,0.3689
1000,4,static,0.000539,1.0719,0.2680
1000,4,dynamic,0.012047,0.0480,0.0120
1000,4,guided,0.001921,0.3007,0.0752
1000,4,static,0.000498,1.1606,0.2901
1000,4,dynamic,0.011950,0.0483,0.0121
1000,4,guided,0.001952,0.2959,0.0740
1000,4,static,0.000609,1.2338,0.3085
1000,4,dynamic,0.011644,0.0646,0.0161
1000,4,guided,0.001907,0.3943,0.0986
1000,8,static,0.000683,0.8477,0.1060
1000,8,dynamic,0.010943,0.0529,0.0066
1000,8,guided,0.003887,0.1490,0.0186
1000,8,static,0.000674,0.8673,0.1084
1000,8,dynamic,0.010776,0.0543,0.0068
1000,8,guided,0.003790,0.1543,0.0193
1000,8,static,0.000603,0.9569,0.1196
1000,8,dynamic,0.010980,0.0525,0.0066
1000,8,guided,0.003994,0.1444,0.0180
5000,1,static,0.013413,0.8560,0.8560
5000,1,dynamic,0.059562,0.1928,0.1928
5000,1,guided,0.012305,0.9331,0.9331
5000,1,static,0.012460,0.9491,0.9491
5000,1,dynamic,0.058645,0.2016,0.2016
5000,1,guided,0.012441,0.9505,0.9505
5000,1,static,0.012645,0.9185,0.9185
5000,1,dynamic,0.059009,0.1968,0.1968
5000,1,guided,0.012482,0.9305,0.9305
5000,2,static,0.007725,1.5203,0.7601
5000,2,dynamic,0.316448,0.0371,0.0186
5000,2,guided,0.009610,1.2220,0.6110
5000,2,static,0.007401,1.5490,0.7745
5000,2,dynamic,0.318556,0.0360,0.0180
5000,2,guided,0.009860,1.1627,0.5813
5000,2,static,0.007148,1.7295,0.8648
5000,2,dynamic,0.318070,0.0389,0.0194
5000,2,guided,0.009853,1.2548,0.6274
5000,4,static,0.004774,2.4271,0.6068
5000,4,dynamic,0.280739,0.0413,0.0103
5000,4,guided,0.013075,0.8862,0.2215
5000,4,static,0.004638,2.4738,0.6185
5000,4,dynamic,0.281610,0.0407,0.0102
5000,4,guided,0.012915,0.8884,0.2221
5000,4,static,0.004723,2.4877,0.6219
5000,4,dynamic,0.281659,0.0417,0.0104
5000,4,guided,0.012879,0.9124,0.2281
5000,8,static,0.004653,2.4968,0.3121
5000,8,dynamic,0.245687,0.0473,0.0059
5000,8,guided,0.022689,0.5120,0.0640
5000,8,static,0.004718,2.5041,0.3130
5000,8,dynamic,0.246056,0.0480,0.0060
5000,8,guided,0.022521,0.5245,0.0656
5000,8,static,0.004578,2.5091,0.3136
5000,8,dynamic,0.245259,0.0468,0.0059
5000,8,guided,0.022568,0.5090,0.0636
10000,1,static,0.047287,0.9562,0.9562
10000,1,dynamic,0.236130,0.1915,0.1915
10000,1,guided,0.045984,0.9833,0.9833
10000,1,static,0.046907,0.9541,0.9541
10000,1,dynamic,0.243698,0.1836,0.1836
10000,1,guided,0.045741,0.9784,0.9784
10000,1,static,0.046876,0.9574,0.9574
10000,1,dynamic,0.236444,0.1898,0.1898
10000,1,guided,0.045985,0.9759,0.9759
10000,2,static,0.025556,1.7758,0.8879
10000,2,dynamic,1.269569,0.0357,0.0179
10000,2,guided,0.029583,1.5340,0.7670
10000,2,static,0.025464,1.7619,0.8809
10000,2,dynamic,1.265463,0.0355,0.0177
10000,2,guided,0.029585,1.5164,0.7582
10000,2,static,0.025383,1.7649,0.8825
10000,2,dynamic,1.266400,0.0354,0.0177
10000,2,guided,0.029622,1.5124,0.7562
10000,4,static,0.014823,3.0288,0.7572
10000,4,dynamic,1.087613,0.0413,0.0103
