Tamanho,Threads,Schedule,Tempo(s),Speedup,Eficiencia
1000,1,dynamic,0.003119,0.205233,0.205233
1000,1,guided,0.000898,0.711167,0.711167
1000,1,static,0.000802,0.794933,0.794933
1000,2,dynamic,0.013074,0.050900,0.025433
1000,2,guided,0.000985,0.674533,0.337267
1000,2,static,0.000609,1.096900,0.548467
1000,4,dynamic,0.011880,0.053633,0.013400
1000,4,guided,0.001927,0.330300,0.082600
1000,4,static,0.000549,1.155433,0.288867
1000,8,dynamic,0.010900,0.053233,0.006667
1000,8,guided,0.003890,0.149233,0.018633
1000,8,static,0.000653,0.890633,0.111333
5000,1,dynamic,0.059072,0.197067,0.197067
5000,1,guided,0.012409,0.938033,0.938033
5000,1,static,0.012839,0.907867,0.907867
5000,2,dynamic,0.317691,0.037333,0.018667
5000,2,guided,0.009774,1.213167,0.606567
5000,2,static,0.007425,1.599600,0.799800
5000,4,dynamic,0.281336,0.041233,0.010300
5000,4,guided,0.012956,0.895667,0.223900
5000,4,static,0.004712,2.462867,0.615733
5000,8,dynamic,0.245667,0.047367,0.005933
5000,8,guided,0.022593,0.515167,0.064400
5000,8,static,0.004650,2.503333,0.312900
10000,1,dynamic,0.238757,0.188300,0.188300
10000,1,guided,0.045903,0.979200,0.979200
10000,1,static,0.047023,0.955900,0.955900
10000,2,dynamic,1.267144,0.035533,0.017767
10000,2,guided,0.029597,1.520933,0.760467
10000,2,static,0.025468,1.767533,0.883767
10000,4,dynamic,1.088132,0.041233,0.010300
10000,4,guided,0.031502,1.424967,0.356233
10000,4,static,0.015077,2.978300,0.744600
10000,8,dynamic,0.975565,0.045867,0.005700
10000,8,guided,0.050131,0.892600,0.111567
10000,8,static,0.014138,3.165033,0.395600
50000,1,dynamic,7.384938,0.252100,0.252100
50000,1,guided,1.678829,1.108900,1.108900
50000,1,static,1.677871,1.109500,1.109500
50000,2,dynamic,31.307076,0.059367,0.029700
50000,2,guided,0.770568,2.411600,1.205833
50000,2,static,0.595389,3.121767,1.560900
50000,4,dynamic,27.877128,0.066867,0.016733
50000,4,guided,0.501508,3.717200,0.929333
50000,4,static,0.306641,6.082733,1.520667
50000,8,dynamic,24.419172,0.077267,0.009633
50000,8,guided,0.451289,4.184933,0.523100
50000,8,static,0.284749,6.626867,0.828367
100000,1,dynamic,31.033344,0.283533,0.283533
100000,1,guided,8.744058,1.006367,1.006367
100000,1,static,8.694232,1.012133,1.012133
100000,2,dynamic,124.584331,0.070433,0.035200
100000,2,guided,3.976810,2.207300,1.103633
100000,2,static,3.378147,2.597500,1.298767
100000,4,dynamic,110.835776,0.079167,0.019767
100000,4,guided,2.566711,3.417800,0.854433
100000,4,static,1.345699,6.522733,1.630700
100000,8,dynamic,96.697676,0.090367,0.011267
100000,8,guided,1.636803,5.337767,0.667200
100000,8,static,1.129065,7.738900,0.967367
